periodo_str,periodo_dt,anio,mes,producto,agrupador_tipo,agrupador_nombre,tipo_recurso,produccion,source_resource
2009-01,2009-01-01,2009,1,gas,cuenca,AUSTRAL,promedio_diario,24506.9733870968,Producción de gas promedio diaria por cuenca
2009-01,2009-01-01,2009,1,gas,cuenca,CUYANA,promedio_diario,170.984064516129,Producción de gas promedio diaria por cuenca
2009-01,2009-01-01,2009,1,gas,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de gas promedio diaria por cuenca
2009-01,2009-01-01,2009,1,gas,cuenca,GOLFO SAN JORGE,promedio_diario,13944.1666874194,Producción de gas promedio diaria por cuenca
2009-01,2009-01-01,2009,1,gas,cuenca,LOS BOLSONES,promedio_diario,0.0,Producción de gas promedio diaria por cuenca
2009-01,2009-01-01,2009,1,gas,cuenca,NEUQUINA,promedio_diario,75156.4961649355,Producción de gas promedio diaria por cuenca
2009-01,2009-01-01,2009,1,gas,cuenca,NOROESTE,promedio_diario,17444.390516129,Producción de gas promedio diaria por cuenca
2009-02,2009-02-01,2009,2,gas,cuenca,AUSTRAL,promedio_diario,25638.6131071429,Producción de gas promedio diaria por cuenca
2009-02,2009-02-01,2009,2,gas,cuenca,CUYANA,promedio_diario,169.469317857143,Producción de gas promedio diaria por cuenca
2009-02,2009-02-01,2009,2,gas,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de gas promedio diaria por cuenca
2009-02,2009-02-01,2009,2,gas,cuenca,GOLFO SAN JORGE,promedio_diario,14417.0979642857,Producción de gas promedio diaria por cuenca
2009-02,2009-02-01,2009,2,gas,cuenca,LOS BOLSONES,promedio_diario,0.0,Producción de gas promedio diaria por cuenca
2009-02,2009-02-01,2009,2,gas,cuenca,NEUQUINA,promedio_diario,74732.3865287143,Producción de gas promedio diaria por cuenca
2009-02,2009-02-01,2009,2,gas,cuenca,NOROESTE,promedio_diario,17875.7013928571,Producción de gas promedio diaria por cuenca
2009-03,2009-03-01,2009,3,gas,cuenca,AUSTRAL,promedio_diario,25624.3160322581,Producción de gas promedio diaria por cuenca
2009-03,2009-03-01,2009,3,gas,cuenca,CUYANA,promedio_diario,168.994587096774,Producción de gas promedio diaria por cuenca
2009-03,2009-03-01,2009,3,gas,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de gas promedio diaria por cuenca
2009-03,2009-03-01,2009,3,gas,cuenca,GOLFO SAN JORGE,promedio_diario,14713.4041806452,Producción de gas promedio diaria por cuenca
