periodo_str,produccion_total,cantidad_agrupadores
2009-01,131223.01082009682,7
2009-02,132833.26831085715,7
2009-03,135361.20478387098,7
2009-04,135493.24615099997,7
2009-05,135374.43295322577,7
2009-06,138925.00355133336,7
2009-07,138202.7107451613,7
2009-08,129584.3719603227,7
2009-09,133147.5679066667,7
2009-10,132800.7205567742,7
2009-11,124330.71901633333,7
2009-12,124647.80068096767,7
2010-01,125291.98860032261,7
2010-02,129355.2049075,7
2010-03,127198.85233548388,7
2010-04,127155.39826200003,7
2010-05,132489.8561290322,7
2010-06,133425.85946699991,7
2010-07,134204.99506225804,7
2010-08,133945.64733196778,7
2010-09,131293.257803,7
2010-10,127844.76072548382,7
2010-11,123733.9934053334,7
2010-12,122810.43979741928,7
2011-01,123127.61327870966,7
2011-02,123464.27690642852,7
2011-03,121552.34693935483,7
2011-04,120424.12528833328,7
2011-05,124983.18301935474,7
2011-06,127250.696771,7
2011-07,126500.40235891836,7
2011-08,127734.53173212902,6
2011-09,127267.95975329161,7
2011-10,126494.2114032259,7
2011-11,124746.48820845367,7
2011-12,123152.09067290326,7
2012-01,123034.61442084062,7
2012-02,119525.73526482756,7
2012-03,121051.79595129025,7
2012-04,122443.50515366663,6
2012-05,122463.80588064512,8
2012-06,121631.54677466671,8
2012-07,121450.02935967747,9
2012-08,121429.70154322579,9
2012-09,121263.55166533333,9
2012-10,119743.97282483875,9
2012-11,117197.35030000008,10
2012-12,115386.37676391382,10
2013-01,114637.10911157122,10
2013-02,115270.29060000002,10
2013-03,111604.56928338709,10
2013-04,112514.310755,10
2013-05,114446.93228779142,10
2013-06,115042.51013351351,10
2013-07,114465.52036371284,11
2013-08,115270.78110541703,11
2013-09,115381.89833625697,11
2013-10,114574.80312169043,14
2013-11,114689.6860735206,14
2013-12,113447.76344542387,14
2014-01,114199.73791144058,14
2014-02,113987.83801775583,14
2014-03,112191.52837728386,14
2014-04,108534.56930159807,14
2014-05,114322.02169124683,14
2014-06,114483.38447288153,14
2014-07,115302.40722018648,14
2014-08,114802.47641686871,14
2014-09,115187.71456853063,14
2014-10,112332.85898723571,14
2014-11,113981.19236537289,14
2014-12,114486.38509654225,14
2015-01,115980.87355414304,11
2015-02,115334.77645472452,11
2015-03,116522.93832178155,11
2015-04,117188.19533093265,11
2015-05,118383.92122931413,11
2015-06,118003.32364561794,11
2015-07,117325.30893271248,11
2015-08,119862.34229266063,11
2015-09,117977.1774809856,11
2015-10,119567.37002506245,11
2015-11,118563.57549531,11
2015-12,115718.23627334215,11
2016-01,119722.95318370614,11
2016-02,120120.56098159488,11
2016-03,122000.74257901257,11
2016-04,122919.9961547998,11
2016-05,124275.56175826775,11
2016-06,124051.25262340637,11
2016-07,125626.114081013,11
2016-08,124859.50456720278,11
2016-09,123994.82623396354,11
2016-10,124615.40160320084,12
2016-11,121234.05117413527,12
2016-12,121429.90725921774,12
2017-01,123096.49350075393,12
