periodo_str,produccion_total,cantidad_agrupadores
2009-01,131223.01082009685,51
2009-02,132833.26831085712,52
2009-03,135361.20478387095,52
2009-04,135493.2461510001,52
2009-05,135374.4329532258,52
2009-06,138925.00355133333,52
2009-07,138202.71074516134,52
2009-08,129584.37196032255,53
2009-09,133147.56790666663,53
2009-10,132800.72055677423,53
2009-11,124330.71901633331,52
2009-12,124647.80068096779,52
2010-01,125291.98860032247,51
2010-02,129355.20490750004,52
2010-03,127198.85233548385,52
2010-04,127155.39826199997,52
2010-05,132489.85612903224,52
2010-06,133425.85946700006,52
2010-07,134204.99506225804,52
2010-08,133945.64733196775,50
2010-09,131293.25780299996,52
2010-10,127844.76072548385,52
2010-11,123733.99340533337,52
2010-12,122810.43979741943,52
2011-01,123127.61327870974,54
2011-02,123464.27690642867,55
2011-03,121552.34693935486,56
2011-04,120424.1252883333,56
2011-05,124983.18301935474,57
2011-06,127250.69677099999,57
2011-07,126500.40235891839,56
2011-08,127734.53173212903,56
2011-09,127267.95975329154,58
2011-10,126494.21140322577,58
2011-11,124746.48820845356,59
2011-12,123152.09067290326,58
2012-01,123034.6144208406,58
2012-02,119525.73526482758,58
2012-03,121051.79595129033,58
2012-04,122443.5051536667,57
2012-05,122463.8058806452,59
2012-06,121631.54677466679,60
2012-07,121450.0293596775,60
2012-08,121429.70154322588,60
2012-09,121263.55166533327,60
2012-10,119743.97282483873,60
2012-11,117197.35030000005,61
2012-12,115386.376763914,61
2013-01,114637.10911157134,61
2013-02,115270.29060000001,61
2013-03,111604.56928338717,62
2013-04,112514.31075499993,61
2013-05,114446.93228779148,61
2013-06,115042.51013351331,61
2013-07,114465.52036371277,61
2013-08,115270.78110541697,60
2013-09,115381.898336257,65
2013-10,114574.80312169038,66
2013-11,114689.68607352056,66
2013-12,113447.76344542383,65
2014-01,114199.73791144064,66
2014-02,113987.83801775581,66
2014-03,112191.5283772839,66
2014-04,108534.56930159804,66
2014-05,114322.02169124682,66
2014-06,114483.38447288144,66
2014-07,115302.40722018664,66
2014-08,114802.47641686871,66
2014-09,115187.71456853062,66
2014-10,112332.85898723578,64
2014-11,113981.19236537287,64
2014-12,114486.3850965423,63
2015-01,115980.87355414312,63
2015-02,115334.77645472453,63
2015-03,116522.93832178158,63
2015-04,117188.1953309325,63
2015-05,118383.92122931404,63
2015-06,118003.32364561793,63
2015-07,117325.30893271253,63
2015-08,119862.3422926606,63
2015-09,117977.17748098567,64
2015-10,119567.37002506254,63
2015-11,118563.57549531003,63
2015-12,115718.23627334218,62
2016-01,119722.95318370611,63
2016-02,120120.56098159491,63
2016-03,122000.7425790125,63
2016-04,122919.99615479977,63
2016-05,124275.56175826785,63
2016-06,124051.25262340634,64
2016-07,125626.11408101287,63
2016-08,124859.5045672028,62
2016-09,123994.82623396353,61
2016-10,124615.40160320087,63
2016-11,121234.05117413527,63
2016-12,121429.90725921786,63
2017-01,123096.49350075393,63
2017-02,116924.37955306431,63
2017-03,122219.92680350094,64
2017-04,123286.63424397283,64
2017-05,122109.81471984697,63
2017-06,122291.9799576811,63
2017-07,123393.48086255102,64
2017-08,123822.48882450609,64
2017-09,123418.42921434656,65
2017-10,124821.77638149605,65
2017-11,119194.79884787428,65
2017-12,123031.2476650074,65
2018-01,124044.83517093361,65
2018-02,124838.82690292853,65
2018-03,125867.89167361284,65
2018-04,129248.82847830036,65
2018-05,127273.52194880678,66
2018-06,132229.35325573335,66
2018-07,132140.58856841974,66
2018-08,133805.51918929003,62
2018-09,131800.17227223338,62
2018-10,132364.80328070966,63
2018-11,123229.50650643374,60
2018-12,128722.11171209699,60
2019-01,129038.53071045183,61
2019-02,134663.5763072508,61
2019-03,129487.23589232225,61
2019-04,131627.7507636999,61
2019-05,136960.61865424362,61
2019-06,139995.68177749988,60
2019-07,144418.52671209708,59
2019-08,144422.8122198364,59
2019-09,137943.1848884446,59
2019-10,139900.8547989907,60
2019-11,126984.53867553629,60
2019-12,126865.62743072037,60
2020-01,130232.34320479204,60
2020-02,127716.03948722954,59
2020-03,126621.24672414311,59
2020-04,116740.2238907821,59
2020-05,124471.13840350069,59
2020-06,126021.74919613297,59
2020-07,126827.88520774158,58
2020-08,125672.14280664508,59
2020-09,122853.76705780037,58
2020-10,121881.17071580292,58
2020-11,115727.6232878563,58
2020-12,113873.20666561299,58
2021-01,116014.8545236456,59
2021-02,114579.22553332149,58
2021-03,114523.94538603154,58
2021-04,114239.91220483367,58
2021-05,121286.63334093399,59
2021-06,127022.8912298007,58
2021-07,130729.21513536101,58
2021-08,133725.37166095708,58
2021-09,132672.6791460333,58
2021-10,127230.11089690313,58
2021-11,127878.08021923373,58
2021-12,128861.9356142342,58
2022-01,129953.40574229743,57
2022-02,127327.01242624962,56
2022-03,125476.45750085026,56
2022-04,127374.05008609314,56
2022-05,136343.38556883845,57
2022-06,139751.14034946612,57
2022-07,140475.6787680322,57
2022-08,141778.60252680673,57
2022-09,136347.9275544667,57
2022-10,132981.10768148198,58
2022-11,126753.58539666659,58
2022-12,129041.43545125816,59
2023-01,129028.13932093543,58
2023-02,130191.28357289283,58
2023-03,128853.75193183872,58
2023-04,128782.99247143336,58
2023-05,134974.9796674517,58
2023-06,138217.75531453322,58
2023-07,138167.29686422582,58
2023-08,144420.1360839678,58
2023-09,143230.7771327,58
2023-10,125980.40752477417,58
2023-11,126330.69059326669,57
2023-12,114161.63622293546,57
2024-01,123803.87792806457,56
2024-02,134056.72140837932,57
2024-03,134658.2099840645,57
2024-04,136157.47706039995,56
2024-05,150140.89911312907,55
2024-06,147557.27864589993,55
2024-07,151904.8800563871,55
2024-08,153032.46219312897,56
2024-09,147218.68500993334,57
2024-10,133163.7873477396,57
2024-11,127177.39949533324,58
2024-12,124483.82595129035,58
2025-01,138523.4712129032,58
2025-02,144802.95257499994,58
2025-03,133804.44729032248,58
2025-04,136720.8665766667,58
2025-05,147680.441435484,58
2025-06,159351.1429266665,59
2025-07,160761.59559193556,59
2025-08,158098.8545354838,59
2025-09,138645.9083333334,60
2025-10,123975.30189677418,60
2025-11,122217.01033333338,61
2025-12,131745.32302258065,64
2026-01,131675.45540967735,64
2026-02,140131.31146428565,65
2026-03,141833.40206451615,64
2026-04,140628.62523333335,63
2026-05,156584.23427106446,64
2026-06,139899.63033333325,44
