periodo_str,periodo_dt,anio,mes,producto,agrupador_tipo,agrupador_nombre,tipo_recurso,produccion,source_resource
2009-01,2009-01-01,2009,1,gas,provincia,Chubut,promedio_diario,9100.13898387097,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Estado Nacional,promedio_diario,4561.64903225806,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Formosa,promedio_diario,102.39,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Jujuy,promedio_diario,13.7148387096774,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,La Pampa,promedio_diario,1007.93406451613,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Mendoza,promedio_diario,6443.19341935484,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Neuquén,promedio_diario,65538.8607778387,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Rio Negro,promedio_diario,2337.49196774194,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Salta,promedio_diario,17328.2856774194,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,San Juan,promedio_diario,0.0,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Santa Cruz,promedio_diario,13724.0848003226,Producción de gas promedio diaria por provincia
2009-01,2009-01-01,2009,1,gas,provincia,Tierra del Fuego,promedio_diario,11065.2672580645,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Chubut,promedio_diario,9452.643025,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Estado Nacional,promedio_diario,5150.75153571429,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Formosa,promedio_diario,97.5832142857143,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Jujuy,promedio_diario,12.8189285714286,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,La Pampa,promedio_diario,1209.58571428571,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Mendoza,promedio_diario,6714.55984657143,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Neuquén,promedio_diario,64607.2591785714,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Rio Negro,promedio_diario,2370.45110714286,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Salta,promedio_diario,17765.29925,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,San Juan,promedio_diario,0.0,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Santa Cruz,promedio_diario,14159.7285107143,Producción de gas promedio diaria por provincia
2009-02,2009-02-01,2009,2,gas,provincia,Tierra del Fuego,promedio_diario,11292.588,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Chubut,promedio_diario,9463.46468064516,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Estado Nacional,promedio_diario,5395.60090322581,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Formosa,promedio_diario,96.5635483870968,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Jujuy,promedio_diario,12.7890322580645,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,La Pampa,promedio_diario,1271.86358064516,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Mendoza,promedio_diario,6731.41431051613,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Neuquén,promedio_diario,67170.9990346452,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Rio Negro,promedio_diario,2382.38112903226,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Salta,promedio_diario,17357.4739354839,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,San Juan,promedio_diario,0.0,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Santa Cruz,promedio_diario,14103.7159516129,Producción de gas promedio diaria por provincia
2009-03,2009-03-01,2009,3,gas,provincia,Tierra del Fuego,promedio_diario,11374.9386774194,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Chubut,promedio_diario,9582.13269333333,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Estado Nacional,promedio_diario,6548.44386666667,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Formosa,promedio_diario,98.9276666666667,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Jujuy,promedio_diario,13.408,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,La Pampa,promedio_diario,1304.31856666667,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Mendoza,promedio_diario,6849.72691413333,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Neuquén,promedio_diario,66385.2020702,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Rio Negro,promedio_diario,2355.6491,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Salta,promedio_diario,15915.5382333333,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,San Juan,promedio_diario,0.0,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Santa Cruz,promedio_diario,14608.04334,Producción de gas promedio diaria por provincia
2009-04,2009-04-01,2009,4,gas,provincia,Tierra del Fuego,promedio_diario,11831.8557,Producción de gas promedio diaria por provincia
2009-05,2009-05-01,2009,5,gas,provincia,Chubut,promedio_diario,9704.52359354839,Producción de gas promedio diaria por provincia
2009-05,2009-05-01,2009,5,gas,provincia,Estado Nacional,promedio_diario,7009.25425806452,Producción de gas promedio diaria por provincia
2009-05,2009-05-01,2009,5,gas,provincia,Formosa,promedio_diario,113.670967741935,Producción de gas promedio diaria por provincia
2009-05,2009-05-01,2009,5,gas,provincia,Jujuy,promedio_diario,11.0839032258065,Producción de gas promedio diaria por provincia
2009-05,2009-05-01,2009,5,gas,provincia,La Pampa,promedio_diario,1310.75393548387,Producción de gas promedio diaria por provincia
2009-05,2009-05-01,2009,5,gas,provincia,Mendoza,promedio_diario,6642.27237764516,Producción de gas promedio diaria por provincia
2009-05,2009-05-01,2009,5,gas,provincia,Neuquén,promedio_diario,66040.9265594516,Producción de gas promedio diaria por provincia
