periodo_str,produccion_total,cantidad_agrupadores
2009-01,131223.0108200968,12
2009-02,132833.26831085712,12
2009-03,135361.20478387107,12
2009-04,135493.24615099997,12
2009-05,135374.43295322583,12
2009-06,138925.0035513334,12
2009-07,138202.71074516128,12
2009-08,129584.37196032255,12
2009-09,133147.56790666658,12
2009-10,132800.72055677423,12
2009-11,124330.71901633327,12
2009-12,124647.80068096772,12
2010-01,125291.98860032244,12
2010-02,129355.20490749991,12
2010-03,127198.85233548385,12
2010-04,127155.39826200006,12
2010-05,132489.8561290323,12
2010-06,133425.85946699991,12
2010-07,134204.99506225804,12
2010-08,133945.6473319678,12
2010-09,131293.25780300004,12
2010-10,127844.76072548375,13
2010-11,123733.99340533334,12
2010-12,122810.4397974194,12
2011-01,123127.61327870961,12
2011-02,123464.27690642852,12
2011-03,121552.34693935486,12
2011-04,120424.1252883334,12
2011-05,124983.18301935487,12
2011-06,127250.69677100013,12
2011-07,126500.40235891842,12
2011-08,127734.53173212895,11
2011-09,127267.95975329165,12
2011-10,126494.21140322577,12
2011-11,124746.48820845356,12
2011-12,123152.09067290329,12
2012-01,123034.61442084068,12
2012-02,119525.73526482756,12
2012-03,121051.79595129022,12
2012-04,122443.50515366663,11
2012-05,122463.80588064509,12
2012-06,121631.54677466658,12
2012-07,121450.0293596774,12
2012-08,121429.70154322573,13
2012-09,121263.55166533333,13
2012-10,119743.97282483862,13
2012-11,117197.35029999996,13
2012-12,115386.37676391388,13
2013-01,114637.10911157134,13
2013-02,115270.29059999989,13
2013-03,111604.56928338722,13
2013-04,112514.31075499998,13
2013-05,114446.9322877914,13
2013-06,115042.51013351337,13
2013-07,114465.52036371277,13
2013-08,115270.78110541703,13
2013-09,115381.89833625715,13
2013-10,114574.80312169029,14
2013-11,114689.68607352053,14
2013-12,113447.7634454239,14
2014-01,114199.73791144068,14
2014-02,113987.83801775586,14
2014-03,112191.52837728395,14
2014-04,108534.569301598,14
2014-05,114322.02169124682,14
2014-06,114483.3844728815,14
2014-07,115302.40722018655,14
2014-08,114802.47641686873,14
2014-09,115187.71456853063,14
2014-10,112332.85898723593,14
2014-11,113981.19236537284,14
2014-12,114486.3850965422,14
2015-01,115980.87355414304,13
2015-02,115334.7764547246,13
2015-03,116522.93832178164,13
2015-04,117188.19533093266,13
2015-05,118383.92122931402,13
2015-06,118003.323645618,13
2015-07,117325.30893271253,13
2015-08,119862.34229266067,13
2015-09,117977.1774809857,13
2015-10,119567.37002506248,13
2015-11,118563.57549531005,13
2015-12,115718.23627334212,13
2016-01,119722.95318370611,13
2016-02,120120.560981595,13
2016-03,122000.74257901244,13
2016-04,122919.99615479974,13
2016-05,124275.56175826772,13
2016-06,124051.25262340622,13
2016-07,125626.11408101299,13
2016-08,124859.5045672028,13
2016-09,123994.82623396354,13
2016-10,124615.40160320076,13
2016-11,121234.05117413524,13
2016-12,121429.9072592177,13
2017-01,123096.49350075402,13
2017-02,116924.37955306437,13
2017-03,122219.92680350099,13
2017-04,123286.63424397273,13
2017-05,122109.81471984701,13
2017-06,122291.97995768109,13
2017-07,123393.48086255102,13
2017-08,123822.48882450617,13
2017-09,123418.42921434654,13
2017-10,124821.77638149602,13
2017-11,119194.79884787418,13
2017-12,123031.24766500735,13
2018-01,124044.83517093348,13
2018-02,124838.82690292862,13
2018-03,125867.89167361292,13
2018-04,129248.82847830029,13
2018-05,127273.52194880685,13
2018-06,132229.35325573338,13
2018-07,132140.5885684196,13
2018-08,133805.5191892901,13
2018-09,131800.17227223332,12
2018-10,132364.8032807096,12
2018-11,123229.50650643362,12
2018-12,128722.11171209707,12
2019-01,129038.53071045195,12
2019-02,134663.57630725065,12
