periodo_str,periodo_dt,anio,mes,producto,agrupador_tipo,agrupador_nombre,tipo_recurso,produccion,source_resource
2009-01,2009-01-01,2009,1,petroleo,cuenca,AUSTRAL,promedio_diario,4872.69738709677,Producción de petróleo promedio diaria por cuenca
2009-01,2009-01-01,2009,1,petroleo,cuenca,CUYANA,promedio_diario,5480.36409677419,Producción de petróleo promedio diaria por cuenca
2009-01,2009-01-01,2009,1,petroleo,cuenca,GOLFO SAN JORGE,promedio_diario,43368.8789354839,Producción de petróleo promedio diaria por cuenca
2009-01,2009-01-01,2009,1,petroleo,cuenca,LOS BOLSONES,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-01,2009-01-01,2009,1,petroleo,cuenca,NEUQUINA,promedio_diario,42077.1799987097,Producción de petróleo promedio diaria por cuenca
2009-01,2009-01-01,2009,1,petroleo,cuenca,NOROESTE,promedio_diario,2125.47870967742,Producción de petróleo promedio diaria por cuenca
2009-02,2009-02-01,2009,2,petroleo,cuenca,AUSTRAL,promedio_diario,4980.36442857143,Producción de petróleo promedio diaria por cuenca
2009-02,2009-02-01,2009,2,petroleo,cuenca,CUYANA,promedio_diario,5458.98882142857,Producción de petróleo promedio diaria por cuenca
2009-02,2009-02-01,2009,2,petroleo,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-02,2009-02-01,2009,2,petroleo,cuenca,GOLFO SAN JORGE,promedio_diario,45281.881,Producción de petróleo promedio diaria por cuenca
2009-02,2009-02-01,2009,2,petroleo,cuenca,LOS BOLSONES,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-02,2009-02-01,2009,2,petroleo,cuenca,NEUQUINA,promedio_diario,42214.4806131071,Producción de petróleo promedio diaria por cuenca
2009-02,2009-02-01,2009,2,petroleo,cuenca,NOROESTE,promedio_diario,2108.35107142857,Producción de petróleo promedio diaria por cuenca
2009-03,2009-03-01,2009,3,petroleo,cuenca,AUSTRAL,promedio_diario,4798.12919354839,Producción de petróleo promedio diaria por cuenca
2009-03,2009-03-01,2009,3,petroleo,cuenca,CUYANA,promedio_diario,5441.40567741936,Producción de petróleo promedio diaria por cuenca
2009-03,2009-03-01,2009,3,petroleo,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-03,2009-03-01,2009,3,petroleo,cuenca,GOLFO SAN JORGE,promedio_diario,45676.9017419355,Producción de petróleo promedio diaria por cuenca
2009-03,2009-03-01,2009,3,petroleo,cuenca,LOS BOLSONES,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-03,2009-03-01,2009,3,petroleo,cuenca,NEUQUINA,promedio_diario,41346.3153836774,Producción de petróleo promedio diaria por cuenca
2009-03,2009-03-01,2009,3,petroleo,cuenca,NOROESTE,promedio_diario,2066.76838709677,Producción de petróleo promedio diaria por cuenca
2009-04,2009-04-01,2009,4,petroleo,cuenca,AUSTRAL,promedio_diario,4980.59983333333,Producción de petróleo promedio diaria por cuenca
2009-04,2009-04-01,2009,4,petroleo,cuenca,CUYANA,promedio_diario,5368.67546666667,Producción de petróleo promedio diaria por cuenca
2009-04,2009-04-01,2009,4,petroleo,cuenca,DEL COLORADO,promedio_diario,0.0,Producción de petróleo promedio diaria por cuenca
2009-04,2009-04-01,2009,4,petroleo,cuenca,GOLFO SAN JORGE,promedio_diario,44920.9809333333,Producción de petróleo promedio diaria por cuenca
