periodo_str,produccion_total,cantidad_agrupadores
2009-01,97924.59912774198,6
2009-02,100044.06593453567,7
2009-03,99329.52038367742,7
2009-04,98880.38592519997,7
2009-05,98151.99912674197,7
2009-06,95703.79507319997,7
2009-07,95772.27568158064,7
2009-08,84180.76345300004,7
2009-09,96031.98596956664,7
2009-10,97586.82080251609,7
2009-11,94307.05947126668,7
2009-12,94250.93734629037,7
2010-01,95733.8399829262,7
2010-02,95643.5750814543,7
2010-03,95914.94729953511,7
2010-04,95793.2162486579,7
2010-05,95436.47062837773,7
2010-06,95919.54170124707,7
2010-07,95428.47558065997,7
2010-08,95565.17695701253,7
2010-09,94056.01110719061,7
2010-10,93009.63510439843,7
2010-11,93093.06919084773,7
2010-12,79084.44248155387,7
2011-01,91891.51013525327,7
2011-02,92444.84086298724,7
2011-03,91880.09090003543,7
2011-04,76677.13768579933,7
2011-05,80336.36812154841,7
2011-06,81528.59208753667,7
2011-07,85724.25975279369,7
2011-08,90540.18015903229,7
2011-09,91194.84075733337,7
2011-10,91832.2348251613,7
2011-11,91488.6172593334,7
2011-12,90400.05512129032,7
2012-01,88423.87783806454,7
2012-02,88386.97596827589,7
2012-03,88786.07192258065,7
2012-04,87798.72123333333,7
2012-05,88548.23510477168,8
2012-06,84493.3991946,8
2012-07,85271.86731277416,9
2012-08,88703.95357470964,9
2012-09,88674.84460906663,9
2012-10,87766.76725809673,9
2012-11,84566.51526945597,10
2012-12,86672.57562850449,10
2013-01,84849.23349799965,10
2013-02,84863.1085965711,10
2013-03,85173.14440802381,10
2013-04,84533.32999333335,10
2013-05,86060.84682494891,10
2013-06,85695.79203982287,10
2013-07,86613.15622768445,10
2013-08,86228.80106130289,10
2013-09,86750.52615451999,11
2013-10,86940.84281597452,14
2013-11,86379.42245551763,14
2013-12,85940.31880939876,14
2014-01,85715.3195084868,14
2014-02,85682.90866865392,14
2014-03,84966.47673587616,14
2014-04,81825.894029031,14
2014-05,84013.73701138361,14
2014-06,84284.69458481568,14
2014-07,83457.54049545551,14
2014-08,84083.93925821193,14
2014-09,85790.03693696266,14
2014-10,85635.40255592839,14
2014-11,84843.57321633767,14
2014-12,84973.65950204422,14
2015-01,84779.93451342656,11
2015-02,84073.51343990538,11
2015-03,84500.21677695932,11
2015-04,84785.72017904415,11
2015-05,85275.12948149648,11
2015-06,84843.95416817036,11
2015-07,84610.02674152225,11
2015-08,84139.91561820218,11
2015-09,84406.51006849846,11
2015-10,85122.64481301197,11
2015-11,84607.27625336306,11
2015-12,84612.63007038269,11
2016-01,83456.91922016842,11
2016-02,82398.90442888996,11
2016-03,82935.01952600486,11
2016-04,82825.6366069457,11
2016-05,79360.85421825844,11
2016-06,79585.8666559777,11
2016-07,81347.90523676683,11
2016-08,81009.96309931227,11
