periodo_str,produccion_total,cantidad_agrupadores
2009-01,97924.59912774188,55
2009-02,100044.06593453579,56
2009-03,99329.52038367737,56
2009-04,98880.38592520008,55
2009-05,98151.99912674195,55
2009-06,95703.79507320002,55
2009-07,95772.27568158062,55
2009-08,84180.763453,56
2009-09,96031.98596956662,56
2009-10,97586.82080251607,56
2009-11,94307.05947126659,55
2009-12,94250.93734629037,55
2010-01,95733.83998292612,54
2010-02,95643.57508145427,53
2010-03,95914.9472995352,53
2010-04,95793.2162486579,54
2010-05,95436.4706283777,54
2010-06,95919.541701247,54
2010-07,95428.47558066003,54
2010-08,95565.17695701245,53
2010-09,94056.01110719067,55
2010-10,93009.6351043984,55
2010-11,93093.06919084777,55
2010-12,79084.44248155391,57
2011-01,91891.51013525328,56
2011-02,92444.84086298724,57
2011-03,91880.0909000354,59
2011-04,76677.13768579927,59
2011-05,80336.36812154835,60
2011-06,81528.5920875366,60
2011-07,85724.25975279357,59
2011-08,90540.18015903227,59
2011-09,91194.84075733331,60
2011-10,91832.23482516121,61
2011-11,91488.6172593334,62
2011-12,90400.05512129035,61
2012-01,88423.87783806454,61
2012-02,88386.97596827595,61
2012-03,88786.07192258073,61
2012-04,87798.72123333342,60
2012-05,88548.2351047716,61
2012-06,84493.39919460003,62
2012-07,85271.86731277416,63
2012-08,88703.95357470965,63
2012-09,88674.84460906664,63
2012-10,87766.76725809679,63
2012-11,84566.51526945598,64
2012-12,86672.57562850448,64
2013-01,84849.23349799972,64
2013-02,84863.10859657111,64
2013-03,85173.14440802387,65
2013-04,84533.32999333338,64
2013-05,86060.84682494892,64
2013-06,85695.79203982282,64
2013-07,86613.15622768461,63
2013-08,86228.80106130292,63
2013-09,86750.52615451995,65
2013-10,86940.8428159745,66
2013-11,86379.4224555176,66
2013-12,85940.3188093988,65
2014-01,85715.31950848678,66
2014-02,85682.90866865394,66
2014-03,84966.47673587609,66
2014-04,81825.89402903098,66
2014-05,84013.73701138355,66
2014-06,84284.69458481568,66
2014-07,83457.5404954555,66
2014-08,84083.93925821193,66
2014-09,85790.03693696267,66
2014-10,85635.40255592836,64
2014-11,84843.57321633764,64
2014-12,84973.6595020442,63
2015-01,84779.93451342656,63
2015-02,84073.51343990529,63
2015-03,84500.21677695929,63
2015-04,84785.7201790441,63
2015-05,85275.1294814964,63
2015-06,84843.95416817034,63
2015-07,84610.02674152234,63
2015-08,84139.91561820226,63
2015-09,84406.51006849836,64
2015-10,85122.64481301194,63
2015-11,84607.27625336302,63
2015-12,84612.63007038264,62
2016-01,83456.91922016839,63
2016-02,82398.90442889002,63
2016-03,82935.01952600482,63
2016-04,82825.63660694563,63
2016-05,79360.85421825846,63
2016-06,79585.86665597776,64
2016-07,81347.90523676683,63
2016-08,81009.96309931226,62
2016-09,81544.81721308798,61
2016-10,81186.758818623,63
2016-11,79817.07970207561,63
2016-12,78654.29965868151,63
2017-01,79071.6080177882,63
2017-02,77225.01699335998,63
2017-03,77175.83332123041,64
2017-04,72158.9502754501,64
2017-05,74696.49416771144,63
2017-06,73380.0035466374,63
2017-07,75269.31271714495,64
2017-08,76159.80648380415,64
2017-09,77039.47881709304,65
2017-10,77815.24513538301,65
2017-11,77736.45942587567,65
2017-12,77372.29958747594,65
2018-01,76459.65078448356,66
2018-02,76766.9359967657,65
2018-03,77484.86313747412,65
2018-04,77370.43073565327,65
2018-05,77143.5622949677,66
