periodo_str,produccion_total,cantidad_agrupadores
2009-01,97924.59912774192,13
2009-02,100044.06593453568,13
2009-03,99329.52038367742,13
2009-04,98880.3859252001,13
2009-05,98151.99912674195,13
2009-06,95703.7950731999,13
2009-07,95772.27568158064,13
2009-08,84180.763453,13
2009-09,96031.98596956665,13
2009-10,97586.82080251614,13
2009-11,94307.05947126662,13
2009-12,94250.93734629027,13
2010-01,95733.83998292615,13
2010-02,95643.57508145446,13
2010-03,95914.9472995352,13
2010-04,95793.21624865795,13
2010-05,95436.47062837787,13
2010-06,95919.54170124707,13
2010-07,95428.47558066013,13
2010-08,95565.17695701252,13
2010-09,94056.01110719063,13
2010-10,93009.6351043985,14
2010-11,93093.0691908477,13
2010-12,79084.44248155382,13
2011-01,91891.51013525321,13
2011-02,92444.84086298717,13
2011-03,91880.09090003534,13
2011-04,76677.13768579933,13
2011-05,80336.36812154845,13
2011-06,81528.5920875367,13
2011-07,85724.25975279359,13
2011-08,90540.18015903216,13
2011-09,91194.84075733343,13
2011-10,91832.23482516133,13
2011-11,91488.61725933333,13
2011-12,90400.0551212904,13
2012-01,88423.87783806445,13
2012-02,88386.97596827598,13
2012-03,88786.07192258062,13
2012-04,87798.72123333334,12
2012-05,88548.23510477165,13
2012-06,84493.39919459996,13
2012-07,85271.86731277427,12
2012-08,88703.95357470965,13
2012-09,88674.84460906664,13
2012-10,87766.76725809675,13
2012-11,84566.51526945594,13
2012-12,86672.57562850445,13
2013-01,84849.23349799956,13
2013-02,84863.10859657118,13
2013-03,85173.14440802392,13
2013-04,84533.32999333338,13
2013-05,86060.84682494894,13
2013-06,85695.79203982277,13
2013-07,86613.15622768448,13
2013-08,86228.80106130282,13
2013-09,86750.52615452003,13
2013-10,86940.84281597444,14
2013-11,86379.42245551763,14
2013-12,85940.31880939862,14
2014-01,85715.31950848676,14
2014-02,85682.908668654,14
2014-03,84966.47673587612,14
2014-04,81825.8940290311,14
2014-05,84013.73701138349,14
2014-06,84284.69458481568,14
2014-07,83457.54049545553,14
2014-08,84083.93925821187,14
2014-09,85790.0369369627,14
2014-10,85635.40255592848,14
2014-11,84843.57321633762,14
2014-12,84973.65950204413,14
2015-01,84779.93451342656,13
2015-02,84073.51343990538,13
2015-03,84500.21677695932,13
2015-04,84785.72017904412,13
2015-05,85275.12948149648,13
2015-06,84843.9541681703,13
2015-07,84610.02674152225,13
2015-08,84139.9156182022,13
