periodo_str,periodo_dt,anio,mes,producto,agrupador_tipo,agrupador_nombre,tipo_recurso,produccion,source_resource
2009-01,2009-01-01,2009,1,petroleo,provincia,Chubut,promedio_diario,25615.042483871,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Estado Nacional,promedio_diario,684.083225806452,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Formosa,promedio_diario,416.606451612903,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Jujuy,promedio_diario,46.4877419354839,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,La Pampa,promedio_diario,3925.04709677419,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,La Rioja,promedio_diario,0.0,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Mendoza,promedio_diario,15649.8159354839,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Neuquén,promedio_diario,22097.3238696774,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Rio Negro,promedio_diario,5885.35719354839,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Salta,promedio_diario,1662.38451612903,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,San Juan,promedio_diario,0.0,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Santa Cruz,promedio_diario,19869.0703225806,Producción de petróleo promedio diaria por provincia
2009-01,2009-01-01,2009,1,petroleo,provincia,Tierra del Fuego,promedio_diario,2073.38029032258,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Chubut,promedio_diario,26076.7253928571,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Estado Nacional,promedio_diario,693.225392857143,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Formosa,promedio_diario,392.484642857143,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Jujuy,promedio_diario,47.2082142857143,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,La Pampa,promedio_diario,4113.01071428571,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,La Rioja,promedio_diario,0.0,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Mendoza,promedio_diario,15499.3893928571,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Neuquén,promedio_diario,22275.3870416786,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Rio Negro,promedio_diario,5785.68228571429,Producción de petróleo promedio diaria por provincia
2009-02,2009-02-01,2009,2,petroleo,provincia,Salta,promedio_diario,1668.65821428571,Producción de petróleo promedio diaria por provincia
