periodo_str,producto,total_cuenca,total_empresa,total_provincia,diff_cuenca_vs_provincia_pct,diff_empresa_vs_provincia_pct
2009-01,gas,131223.01082009682,131223.01082009685,131223.0108200968,2.2178907704407323e-14,4.4357815408814645e-14
2009-02,gas,132833.26831085715,132833.26831085712,132833.26831085712,2.1910046200643625e-14,0.0
2009-03,gas,135361.20478387098,135361.20478387095,135361.20478387107,-6.450259622733846e-14,-8.600346163645128e-14
2009-04,gas,135493.24615099997,135493.2461510001,135493.24615099997,0.0,8.591964923269768e-14
2009-05,gas,135374.43295322577,135374.4329532258,135374.43295322583,-4.299752888610743e-14,-2.1498764443053714e-14
2009-06,gas,138925.00355133336,138925.00355133333,138925.0035513334,-2.0949310572433934e-14,-4.189862114486787e-14
2009-07,gas,138202.7107451613,138202.71074516134,138202.71074516128,2.1058798557431825e-14,4.211759711486365e-14
2009-08,gas,129584.3719603227,129584.37196032255,129584.37196032255,1.1229683802320316e-13,0.0
2009-09,gas,133147.5679066667,133147.56790666663,133147.56790666658,8.743330701206597e-14,4.371665350603298e-14
2009-10,gas,132800.7205567742,132800.72055677423,132800.72055677423,-2.1915416072077257e-14,0.0
2009-11,gas,124330.71901633333,124330.71901633331,124330.71901633327,4.6816797468870654e-14,3.5112598101652996e-14
2009-12,gas,124647.80068096767,124647.80068096779,124647.80068096772,-3.502327794522113e-14,5.837212990870187e-14
2010-01,gas,125291.98860032261,125291.98860032247,125291.98860032244,1.3937282398593267e-13,2.3228803997655445e-14
2010-02,gas,129355.2049075,129355.20490750004,129355.20490749991,6.749747057541004e-14,1.0124620586311505e-13
2010-03,gas,127198.85233548388,127198.85233548385,127198.85233548385,2.2880576296374957e-14,0.0
2010-04,gas,127155.39826200003,127155.39826199997,127155.39826200006,-2.288839550230191e-14,-6.866518650690573e-14
2010-05,gas,132489.8561290322,132489.85612903224,132489.8561290323,-6.590051036448268e-14,-4.393367357632178e-14
2010-06,gas,133425.85946699991,133425.85946700006,133425.85946699991,0.0,1.0906367990806133e-13
2010-07,gas,134204.99506225804,134204.99506225804,134204.99506225804,0.0,0.0
2010-08,gas,133945.64733196778,133945.64733196775,133945.6473319678,-2.1728089741209314e-14,-4.345617948241863e-14
2010-09,gas,131293.257803,131293.25780299996,131293.25780300004,-4.433408225790659e-14,-6.650112338685989e-14
2010-10,gas,127844.76072548382,127844.76072548385,127844.76072548375,5.691244266010099e-14,7.967741972414139e-14
2010-11,gas,123733.9934053334,123733.99340533337,123733.99340533334,4.704257844712742e-14,2.352128922356371e-14
2010-12,gas,122810.43979741928,122810.43979741943,122810.4397974194,-9.479269190711019e-14,2.3698172976777548e-14
2011-01,gas,123127.61327870966,123127.61327870974,123127.61327870961,3.5455690663216335e-14,1.0636707198964899e-13
2011-02,gas,123464.27690642852,123464.27690642867,123464.27690642852,0.0,1.178633657685089e-13
2011-03,gas,121552.34693935483,121552.34693935486,121552.34693935486,-2.3943454149226952e-14,0.0
2011-04,gas,120424.12528833328,120424.1252883333,120424.1252883334,-9.667109605172533e-14,-7.250332203879398e-14
2011-05,gas,124983.18301935474,124983.18301935474,124983.18301935487,-1.0478788737123148e-13,-1.0478788737123148e-13
2011-06,gas,127250.696771,127250.69677099999,127250.69677100013,-1.02920644348997e-13,-1.1435627149888556e-13
2011-07,gas,126500.40235891836,126500.40235891839,126500.40235891842,-4.6013814840142044e-14,-2.3006907420071022e-14
2011-08,gas,127734.53173212902,127734.53173212903,127734.53173212895,5.696155546600177e-14,6.835386655920212e-14
2011-09,gas,127267.95975329161,127267.95975329154,127267.95975329165,-3.430222796823884e-14,-9.147260791530356e-14
2011-10,gas,126494.2114032259,126494.21140322577,126494.21140322577,1.0353615047080474e-13,0.0
2011-11,gas,124746.48820845367,124746.48820845356,124746.48820845356,8.165633202303252e-14,0.0
2011-12,gas,123152.09067290326,123152.09067290326,123152.09067290329,-2.3632429053952972e-14,-2.3632429053952972e-14
