anio,mes,indice_tiempo,cuenca,produccion_gas_promedio_dia_mm3
2009,1,2009-01,AUSTRAL,24506.9733870968
2009,1,2009-01,CUYANA,170.984064516129
2009,1,2009-01,DEL COLORADO,0
2009,1,2009-01,GOLFO SAN JORGE,13944.1666874194
2009,1,2009-01,LOS BOLSONES,0
2009,1,2009-01,NEUQUINA,75156.4961649355
2009,1,2009-01,NOROESTE,17444.390516129
2009,2,2009-02,AUSTRAL,25638.6131071429
2009,2,2009-02,CUYANA,169.469317857143
2009,2,2009-02,DEL COLORADO,0
2009,2,2009-02,GOLFO SAN JORGE,14417.0979642857
2009,2,2009-02,LOS BOLSONES,0
2009,2,2009-02,NEUQUINA,74732.3865287143
2009,2,2009-02,NOROESTE,17875.7013928571
2009,3,2009-03,AUSTRAL,25624.3160322581
2009,3,2009-03,CUYANA,168.994587096774
2009,3,2009-03,DEL COLORADO,0
2009,3,2009-03,GOLFO SAN JORGE,14713.4041806452
2009,3,2009-03,LOS BOLSONES,0
2009,3,2009-03,NEUQUINA,77387.6634677419
2009,3,2009-03,NOROESTE,17466.826516129
2009,4,2009-04,AUSTRAL,27778.7522333333
2009,4,2009-04,CUYANA,167.071636666667
2009,4,2009-04,DEL COLORADO,0
2009,4,2009-04,GOLFO SAN JORGE,14791.7233666667
2009,4,2009-04,LOS BOLSONES,0
2009,4,2009-04,NEUQUINA,76727.8250143333
2009,4,2009-04,NOROESTE,16027.8739
2009,5,2009-05,AUSTRAL,26609.325516129
2009,5,2009-05,CUYANA,164.001532258065
2009,5,2009-05,DEL COLORADO,0
2009,5,2009-05,GOLFO SAN JORGE,14896.5700806452
2009,5,2009-05,LOS BOLSONES,0
2009,5,2009-05,NEUQUINA,76290.2562112903
2009,5,2009-05,NOROESTE,17414.2796129032
2009,6,2009-06,AUSTRAL,29018.1511666667
2009,6,2009-06,CUYANA,147.841206666667
2009,6,2009-06,DEL COLORADO,0
2009,6,2009-06,GOLFO SAN JORGE,14367.1203466667
2009,6,2009-06,LOS BOLSONES,0
2009,6,2009-06,NEUQUINA,77886.320098
2009,6,2009-06,NOROESTE,17505.5707333333
2009,7,2009-07,AUSTRAL,29095.4767096774
2009,7,2009-07,CUYANA,152.008403225806
2009,7,2009-07,DEL COLORADO,0
2009,7,2009-07,GOLFO SAN JORGE,14941.7141774194
2009,7,2009-07,LOS BOLSONES,0
2009,7,2009-07,NEUQUINA,76680.6032935484
2009,7,2009-07,NOROESTE,17332.9081612903
2009,8,2009-08,AUSTRAL,25347.4143870968
2009,8,2009-08,CUYANA,160.524496774194
2009,8,2009-08,DEL COLORADO,0
2009,8,2009-08,GOLFO SAN JORGE,11836.9305290323
2009,8,2009-08,LOS BOLSONES,0
2009,8,2009-08,NEUQUINA,74747.5379990323
2009,8,2009-08,NOROESTE,17491.9645483871
2009,9,2009-09,AUSTRAL,29010.9955666667
2009,9,2009-09,CUYANA,154.51818
2009,9,2009-09,DEL COLORADO,0
2009,9,2009-09,GOLFO SAN JORGE,14460.9012766667
2009,9,2009-09,LOS BOLSONES,0
2009,9,2009-09,NEUQUINA,72441.6349833333
2009,9,2009-09,NOROESTE,17079.5179
2009,10,2009-10,AUSTRAL,28457.0193306452
2009,10,2009-10,CUYANA,166.969961290323
2009,10,2009-10,DEL COLORADO,0
2009,10,2009-10,GOLFO SAN JORGE,14585.8137967742
2009,10,2009-10,LOS BOLSONES,0
2009,10,2009-10,NEUQUINA,72301.8481777419
2009,10,2009-10,NOROESTE,17289.0692903226
2009,11,2009-11,AUSTRAL,27997.9152666667
2009,11,2009-11,CUYANA,169.726573333333
2009,11,2009-11,DEL COLORADO,0
2009,11,2009-11,GOLFO SAN JORGE,14042.2737933333
2009,11,2009-11,LOS BOLSONES,0
2009,11,2009-11,NEUQUINA,65172.064683
2009,11,2009-11,NOROESTE,16948.7387
2009,12,2009-12,AUSTRAL,26989.444516129
2009,12,2009-12,CUYANA,164.780383870968
2009,12,2009-12,DEL COLORADO,0
2009,12,2009-12,GOLFO SAN JORGE,13720.700183871
2009,12,2009-12,LOS BOLSONES,0
2009,12,2009-12,NEUQUINA,67147.5369841935
2009,12,2009-12,NOROESTE,16625.3386129032
2010,1,2010-01,AUSTRAL,26202.2196451613
2010,1,2010-01,CUYANA,165.503903225806
2010,1,2010-01,DEL COLORADO,0
2010,1,2010-01,GOLFO SAN JORGE,14247.9221516129
2010,1,2010-01,LOS BOLSONES,0
2010,1,2010-01,NEUQUINA,68606.3128680645
2010,1,2010-01,NOROESTE,16070.0300322581
2010,2,2010-02,AUSTRAL,28182.6640357143
2010,2,2010-02,CUYANA,165.820635714286
2010,2,2010-02,DEL COLORADO,0
2010,2,2010-02,GOLFO SAN JORGE,14365.3703714286
2010,2,2010-02,LOS BOLSONES,0
2010,2,2010-02,NEUQUINA,70868.5064717857
2010,2,2010-02,NOROESTE,15772.8433928571
2010,3,2010-03,AUSTRAL,28061.1164193548
2010,3,2010-03,CUYANA,160.908332258065
2010,3,2010-03,DEL COLORADO,0
2010,3,2010-03,GOLFO SAN JORGE,14327.6481290323
2010,3,2010-03,LOS BOLSONES,0
2010,3,2010-03,NEUQUINA,69729.0505516129
2010,3,2010-03,NOROESTE,14920.1289032258
2010,4,2010-04,AUSTRAL,27162.0647333333
2010,4,2010-04,CUYANA,158.807323333333
2010,4,2010-04,DEL COLORADO,0
