anio,mes,indice_tiempo,provincia,produccion_gas_promedio_dia_mm3
2009,1,2009-01,Chubut,9100.13898387097
2009,1,2009-01,Estado Nacional,4561.64903225806
2009,1,2009-01,Formosa,102.39
2009,1,2009-01,Jujuy,13.7148387096774
2009,1,2009-01,La Pampa,1007.93406451613
2009,1,2009-01,Mendoza,6443.19341935484
2009,1,2009-01,Neuquén,65538.8607778387
2009,1,2009-01,Rio Negro,2337.49196774194
2009,1,2009-01,Salta,17328.2856774194
2009,1,2009-01,San Juan,0
2009,1,2009-01,Santa Cruz,13724.0848003226
2009,1,2009-01,Tierra del Fuego,11065.2672580645
2009,2,2009-02,Chubut,9452.643025
2009,2,2009-02,Estado Nacional,5150.75153571429
2009,2,2009-02,Formosa,97.5832142857143
2009,2,2009-02,Jujuy,12.8189285714286
2009,2,2009-02,La Pampa,1209.58571428571
2009,2,2009-02,Mendoza,6714.55984657143
2009,2,2009-02,Neuquén,64607.2591785714
2009,2,2009-02,Rio Negro,2370.45110714286
2009,2,2009-02,Salta,17765.29925
2009,2,2009-02,San Juan,0
2009,2,2009-02,Santa Cruz,14159.7285107143
2009,2,2009-02,Tierra del Fuego,11292.588
2009,3,2009-03,Chubut,9463.46468064516
2009,3,2009-03,Estado Nacional,5395.60090322581
2009,3,2009-03,Formosa,96.5635483870968
2009,3,2009-03,Jujuy,12.7890322580645
2009,3,2009-03,La Pampa,1271.86358064516
2009,3,2009-03,Mendoza,6731.41431051613
2009,3,2009-03,Neuquén,67170.9990346452
2009,3,2009-03,Rio Negro,2382.38112903226
2009,3,2009-03,Salta,17357.4739354839
2009,3,2009-03,San Juan,0
2009,3,2009-03,Santa Cruz,14103.7159516129
2009,3,2009-03,Tierra del Fuego,11374.9386774194
2009,4,2009-04,Chubut,9582.13269333333
2009,4,2009-04,Estado Nacional,6548.44386666667
2009,4,2009-04,Formosa,98.9276666666667
2009,4,2009-04,Jujuy,13.408
2009,4,2009-04,La Pampa,1304.31856666667
2009,4,2009-04,Mendoza,6849.72691413333
2009,4,2009-04,Neuquén,66385.2020702
2009,4,2009-04,Rio Negro,2355.6491
2009,4,2009-04,Salta,15915.5382333333
2009,4,2009-04,San Juan,0
2009,4,2009-04,Santa Cruz,14608.04334
2009,4,2009-04,Tierra del Fuego,11831.8557
2009,5,2009-05,Chubut,9704.52359354839
2009,5,2009-05,Estado Nacional,7009.25425806452
2009,5,2009-05,Formosa,113.670967741935
2009,5,2009-05,Jujuy,11.0839032258065
2009,5,2009-05,La Pampa,1310.75393548387
2009,5,2009-05,Mendoza,6642.27237764516
2009,5,2009-05,Neuquén,66040.9265594516
2009,5,2009-05,Rio Negro,2460.30487096774
2009,5,2009-05,Salta,17289.5247419355
2009,5,2009-05,San Juan,0
2009,5,2009-05,Santa Cruz,13080.6929387097
2009,5,2009-05,Tierra del Fuego,11711.4248064516
2009,6,2009-06,Chubut,9804.62042666667
2009,6,2009-06,Estado Nacional,7655.18883333333
2009,6,2009-06,Formosa,106.946
2009,6,2009-06,Jujuy,11.523
2009,6,2009-06,La Pampa,1290.79666666667
2009,6,2009-06,Mendoza,7042.07227333333
2009,6,2009-06,Neuquén,67261.1478646667
2009,6,2009-06,Rio Negro,2440.1445
2009,6,2009-06,Salta,17387.1017333333
2009,6,2009-06,San Juan,0
2009,6,2009-06,Santa Cruz,13486.7835866667
2009,6,2009-06,Tierra del Fuego,12438.6786666667
2009,7,2009-07,Chubut,9833.17684516129
2009,7,2009-07,Estado Nacional,8284.46064516129
2009,7,2009-07,Formosa,101.65064516129
2009,7,2009-07,Jujuy,12.3925806451613
2009,7,2009-07,La Pampa,1294.88225806452
2009,7,2009-07,Mendoza,6862.06627419355
2009,7,2009-07,Neuquén,66515.9218741935
2009,7,2009-07,Rio Negro,2159.74129032258
2009,7,2009-07,Salta,17218.8649354839
2009,7,2009-07,San Juan,0
2009,7,2009-07,Santa Cruz,13658.792816129
2009,7,2009-07,Tierra del Fuego,12260.7605806452
2009,8,2009-08,Chubut,9866.8277516129
2009,8,2009-08,Estado Nacional,8060.59129032258
2009,8,2009-08,Formosa,107.582258064516
2009,8,2009-08,Jujuy,12.3735483870968
2009,8,2009-08,La Pampa,1340.138
2009,8,2009-08,Mendoza,6957.24052903226
2009,8,2009-08,Neuquén,64427.5643216129
2009,8,2009-08,Rio Negro,2183.11964516129
2009,8,2009-08,Salta,17372.0087419355
2009,8,2009-08,San Juan,0
2009,8,2009-08,Santa Cruz,6690.92600322581
2009,8,2009-08,Tierra del Fuego,12565.9998709677
2009,9,2009-09,Chubut,9898.6948
2009,9,2009-09,Estado Nacional,8136.42096666667
2009,9,2009-09,Formosa,105.034
2009,9,2009-09,Jujuy,12.5696666666667
2009,9,2009-09,La Pampa,1254.2447
2009,9,2009-09,Mendoza,6304.89048
2009,9,2009-09,Neuquén,62870.53995
2009,9,2009-09,Rio Negro,2166.47803333333
2009,9,2009-09,Salta,16961.9142333333
2009,9,2009-09,San Juan,0
2009,9,2009-09,Santa Cruz,13737.9181433333
2009,9,2009-09,Tierra del Fuego,11698.8629333333
2009,10,2009-10,Chubut,9648.89323548387
2009,10,2009-10,Estado Nacional,7650.92155645161
2009,10,2009-10,Formosa,106.058387096774
2009,10,2009-10,Jujuy,12.1058064516129
2009,10,2009-10,La Pampa,1271.33925806452
2009,10,2009-10,Mendoza,6292.57154193548
2009,10,2009-10,Neuquén,62641.62421
2009,10,2009-10,Rio Negro,2263.28312903226
2009,10,2009-10,Salta,17170.9050967742
2009,10,2009-10,San Juan,0
2009,10,2009-10,Santa Cruz,14022.1770451613
2009,10,2009-10,Tierra del Fuego,11720.8412903226
2009,11,2009-11,Chubut,9494.18723
2009,11,2009-11,Estado Nacional,7519.7719
2009,11,2009-11,Formosa,107.947333333333
2009,11,2009-11,Jujuy,11.6743333333333
2009,11,2009-11,La Pampa,1153.69546666667
2009,11,2009-11,Mendoza,5984.29950666667
2009,11,2009-11,Neuquén,55912.1246163333
2009,11,2009-11,Rio Negro,2291.67166666667
2009,11,2009-11,Salta,16829.1170333333
2009,11,2009-11,San Juan,0
2009,11,2009-11,Santa Cruz,13385.7564966667
2009,11,2009-11,Tierra del Fuego,11640.4734333333
2009,12,2009-12,Chubut,9493.92145483871
2009,12,2009-12,Estado Nacional,7445.08103225806
2009,12,2009-12,Formosa,97.0354838709677
2009,12,2009-12,Jujuy,11.0483870967742
2009,12,2009-12,La Pampa,1118.11741935484
2009,12,2009-12,Mendoza,6231.38293225807
2009,12,2009-12,Neuquén,57817.5304680645
2009,12,2009-12,Rio Negro,2145.2865483871
2009,12,2009-12,Salta,16517.2547419355
2009,12,2009-12,San Juan,0
2009,12,2009-12,Santa Cruz,12576.4254064516
2009,12,2009-12,Tierra del Fuego,11194.7168064516
2010,1,2010-01,Chubut,9516.04311612903
2010,1,2010-01,Estado Nacional,6848.93564516129
2010,1,2010-01,Formosa,107.247419354839
2010,1,2010-01,Jujuy,11.6329032258065
2010,1,2010-01,La Pampa,1086.48322580645
2010,1,2010-01,Mendoza,6219.12538709677
2010,1,2010-01,Neuquén,59359.7703277419
2010,1,2010-01,Rio Negro,2106.43783064516
2010,1,2010-01,Salta,15951.1497096774
2010,1,2010-01,San Juan,0
2010,1,2010-01,Santa Cruz,13149.882616129
2010,1,2010-01,Tierra del Fuego,10935.2804193548
2010,2,2010-02,Chubut,9602.7981
2010,2,2010-02,Estado Nacional,8332.25864285714
2010,2,2010-02,Formosa,106.511428571429
2010,2,2010-02,Jujuy,12.3010714285714
2010,2,2010-02,La Pampa,1251.91028571429
2010,2,2010-02,Mendoza,6156.26274285714
2010,2,2010-02,Neuquén,61472.4324360714
2010,2,2010-02,Rio Negro,2153.72164285714
