anio,mes,indice_tiempo,cuenca,produccion_petroleo_promedio_dia_m3
2009,1,2009-01,AUSTRAL,4872.69738709677
2009,1,2009-01,CUYANA,5480.36409677419
2009,1,2009-01,GOLFO SAN JORGE,43368.8789354839
2009,1,2009-01,LOS BOLSONES,0
2009,1,2009-01,NEUQUINA,42077.1799987097
2009,1,2009-01,NOROESTE,2125.47870967742
2009,2,2009-02,AUSTRAL,4980.36442857143
2009,2,2009-02,CUYANA,5458.98882142857
2009,2,2009-02,DEL COLORADO,0
2009,2,2009-02,GOLFO SAN JORGE,45281.881
2009,2,2009-02,LOS BOLSONES,0
2009,2,2009-02,NEUQUINA,42214.4806131071
2009,2,2009-02,NOROESTE,2108.35107142857
2009,3,2009-03,AUSTRAL,4798.12919354839
2009,3,2009-03,CUYANA,5441.40567741936
2009,3,2009-03,DEL COLORADO,0
2009,3,2009-03,GOLFO SAN JORGE,45676.9017419355
2009,3,2009-03,LOS BOLSONES,0
2009,3,2009-03,NEUQUINA,41346.3153836774
2009,3,2009-03,NOROESTE,2066.76838709677
2009,4,2009-04,AUSTRAL,4980.59983333333
2009,4,2009-04,CUYANA,5368.67546666667
2009,4,2009-04,DEL COLORADO,0
2009,4,2009-04,GOLFO SAN JORGE,44920.9809333333
2009,4,2009-04,LOS BOLSONES,0
2009,4,2009-04,NEUQUINA,41681.2600252
2009,4,2009-04,NOROESTE,1928.86966666667
2009,5,2009-05,AUSTRAL,4530.25116129032
2009,5,2009-05,CUYANA,5232.32761290323
2009,5,2009-05,DEL COLORADO,0
2009,5,2009-05,GOLFO SAN JORGE,45834.9663548387
2009,5,2009-05,LOS BOLSONES,0
2009,5,2009-05,NEUQUINA,40510.6310944839
2009,5,2009-05,NOROESTE,2043.82290322581
2009,6,2009-06,AUSTRAL,4840.7349
2009,6,2009-06,CUYANA,5185.4892
2009,6,2009-06,DEL COLORADO,0
2009,6,2009-06,GOLFO SAN JORGE,42317.1023333333
2009,6,2009-06,LOS BOLSONES,0
2009,6,2009-06,NEUQUINA,41361.9279732
2009,6,2009-06,NOROESTE,1998.54066666667
2009,7,2009-07,AUSTRAL,4908.75406451613
2009,7,2009-07,CUYANA,5144.1544516129
2009,7,2009-07,DEL COLORADO,0
2009,7,2009-07,GOLFO SAN JORGE,44842.005
2009,7,2009-07,LOS BOLSONES,0
2009,7,2009-07,NEUQUINA,38882.536359
2009,7,2009-07,NOROESTE,1994.82580645161
2009,8,2009-08,AUSTRAL,3620.99280645161
2009,8,2009-08,CUYANA,5122.17793548387
2009,8,2009-08,DEL COLORADO,0
