anio,mes,indice_tiempo,provincia,produccion_petroleo_promedio_dia_m3
2009,1,2009-01,Chubut,25615.042483871
2009,1,2009-01,Estado Nacional,684.083225806452
2009,1,2009-01,Formosa,416.606451612903
2009,1,2009-01,Jujuy,46.4877419354839
2009,1,2009-01,La Pampa,3925.04709677419
2009,1,2009-01,La Rioja,0
2009,1,2009-01,Mendoza,15649.8159354839
2009,1,2009-01,Neuquén,22097.3238696774
2009,1,2009-01,Rio Negro,5885.35719354839
2009,1,2009-01,Salta,1662.38451612903
2009,1,2009-01,San Juan,0
2009,1,2009-01,Santa Cruz,19869.0703225806
2009,1,2009-01,Tierra del Fuego,2073.38029032258
2009,2,2009-02,Chubut,26076.7253928571
2009,2,2009-02,Estado Nacional,693.225392857143
2009,2,2009-02,Formosa,392.484642857143
2009,2,2009-02,Jujuy,47.2082142857143
2009,2,2009-02,La Pampa,4113.01071428571
2009,2,2009-02,La Rioja,0
2009,2,2009-02,Mendoza,15499.3893928571
2009,2,2009-02,Neuquén,22275.3870416786
2009,2,2009-02,Rio Negro,5785.68228571429
2009,2,2009-02,Salta,1668.65821428571
2009,2,2009-02,San Juan,0
2009,2,2009-02,Santa Cruz,21256.8513214286
2009,2,2009-02,Tierra del Fuego,2235.44332142857
2009,3,2009-03,Chubut,26318.5838064516
2009,3,2009-03,Estado Nacional,677.001612903226
2009,3,2009-03,Formosa,400.987096774194
2009,3,2009-03,Jujuy,48.161935483871
2009,3,2009-03,La Pampa,4155.01635483871
2009,3,2009-03,La Rioja,0
2009,3,2009-03,Mendoza,15529.9341612903
2009,3,2009-03,Neuquén,21571.1263191613
2009,3,2009-03,Rio Negro,5531.64422580645
2009,3,2009-03,Salta,1617.61935483871
2009,3,2009-03,San Juan,0
2009,3,2009-03,Santa Cruz,21357.3943870968
2009,3,2009-03,Tierra del Fuego,2122.05112903226
2009,4,2009-04,Chubut,26704.935
2009,4,2009-04,Estado Nacional,781.575333333333
2009,4,2009-04,Formosa,379.630666666667
2009,4,2009-04,Jujuy,49.877
2009,4,2009-04,La Pampa,4039.1
2009,4,2009-04,La Rioja,0
2009,4,2009-04,Mendoza,15406.0629666667
2009,4,2009-04,Neuquén,22040.6637918667
2009,4,2009-04,Rio Negro,5564.10873333333
2009,4,2009-04,Salta,1499.362
2009,4,2009-04,San Juan,0
2009,4,2009-04,Santa Cruz,20283.5192666667
2009,4,2009-04,Tierra del Fuego,2131.55116666667
2009,5,2009-05,Chubut,26997.7129032258
2009,5,2009-05,Estado Nacional,704.651612903226
2009,5,2009-05,Formosa,402.652903225806
2009,5,2009-05,Jujuy,40.3654838709677
2009,5,2009-05,La Pampa,4003.43032258065
2009,5,2009-05,La Rioja,0
2009,5,2009-05,Mendoza,14924.8939032258
2009,5,2009-05,Neuquén,21239.3107719032
2009,5,2009-05,Rio Negro,5575.32370967742
2009,5,2009-05,Salta,1600.80451612903
2009,5,2009-05,San Juan,0
2009,5,2009-05,Santa Cruz,20476.0766774194
2009,5,2009-05,Tierra del Fuego,2186.77632258065
2009,6,2009-06,Chubut,27124.3917333333
2009,6,2009-06,Estado Nacional,721.808
2009,6,2009-06,Formosa,333.320666666667
2009,6,2009-06,Jujuy,43.7903333333333
2009,6,2009-06,La Pampa,4039.61733333333
2009,6,2009-06,La Rioja,0
2009,6,2009-06,Mendoza,15142.1005333333
2009,6,2009-06,Neuquén,21696.4131732
2009,6,2009-06,Rio Negro,5669.28613333333
2009,6,2009-06,Salta,1621.42966666667
2009,6,2009-06,San Juan,0
2009,6,2009-06,Santa Cruz,17013.7119333333
2009,6,2009-06,Tierra del Fuego,2297.92556666667
2009,7,2009-07,Chubut,26559.2767096774
2009,7,2009-07,Estado Nacional,823.03
2009,7,2009-07,Formosa,328.470322580645
2009,7,2009-07,Jujuy,51.9487096774194
2009,7,2009-07,La Pampa,3979.7864516129
2009,7,2009-07,La Rioja,0
2009,7,2009-07,Mendoza,14760.9461290323
2009,7,2009-07,Neuquén,20101.0696493226
2009,7,2009-07,Rio Negro,5184.88858064516
2009,7,2009-07,Salta,1614.40677419355
2009,7,2009-07,San Juan,0
2009,7,2009-07,Santa Cruz,20135.4344193548
2009,7,2009-07,Tierra del Fuego,2233.01793548387
2009,8,2009-08,Chubut,26566.9795483871
2009,8,2009-08,Estado Nacional,671.282258064516
2009,8,2009-08,Formosa,389.068709677419
2009,8,2009-08,Jujuy,58.411935483871
2009,8,2009-08,La Pampa,3924.81309677419
2009,8,2009-08,La Rioja,0
2009,8,2009-08,Mendoza,14595.7109032258
2009,8,2009-08,Neuquén,21398.0267433226
2009,8,2009-08,Rio Negro,5602.14667741936
2009,8,2009-08,Salta,1611.44193548387
2009,8,2009-08,San Juan,0
2009,8,2009-08,Santa Cruz,7299.92174193548
2009,8,2009-08,Tierra del Fuego,2062.95990322581
2009,9,2009-09,Chubut,26212.8935333333
2009,9,2009-09,Estado Nacional,885.060333333333
2009,9,2009-09,Formosa,391.915333333333
2009,9,2009-09,Jujuy,58.15
2009,9,2009-09,La Pampa,3765.60833333333
2009,9,2009-09,La Rioja,0
2009,9,2009-09,Mendoza,14355.6734666667
2009,9,2009-09,Neuquén,20512.4410695667
2009,9,2009-09,Rio Negro,5557.869
